Complexity,Loss,Equation
1,0.0006131441,"-0.015907913"
3,0.00045925874,"-0.720279 / RSI"
4,0.00045084732,"sin(UNRATE) / RSI"
5,0.00019906966,"(MACD * 0.0044784686) + -0.016262628"
6,0.0001989452,"sin((MACD * 0.004483232) + -0.016271519)"
7,0.00019143915,"exp(exp(MACD) * -0.52374697) * -0.04241548"
8,0.00015191102,"sin(exp(exp(MACD * 0.039623864))) * -0.053206276"
9,0.00015026079,"log1p(sin(exp(exp(MACD * 0.040216196))) * -0.052316457)"
10,0.00014881419,"log1p(log1p(sin(exp(exp(MACD * 0.040759422))) * -0.051411476))"
11,0.00013441057,"(exp(-0.47616267 * exp(0.32903782 * MACD)) * -0.07279213) + 0.022456987"
12,0.00013438177,"log1p((exp(exp(MACD * 0.33188224) * -0.46226278) * -0.07177553) + 0.022739906)"
13,0.00013333325,"0.022739906 + (exp(-0.46226278 * exp(MACD * (T10Y2Y + 0.6808601))) * -0.07177553)"
14,0.00011841004,"sin((VIXCLS - (MACD * 3.5783138)) / ((RSI / -1.2793456) + MACD)) / VIXCLS"
15,0.00010551685,"sin(sin((VIXCLS - (MACD * 4.1658154)) / (MACD + (RSI / -0.985802))) / VIXCLS)"
16,6.64666e-5,"(sin((VIXCLS - (MACD * 2.3440766)) / ((RSI / -1.7422537) + MACD)) + 0.19945073) / VIXCLS"
17,6.477573e-5,"log1p((sin((VIXCLS - (MACD * 2.3440766)) / ((RSI / -1.7422537) + MACD)) + 0.19945073) / VIXCLS)"
18,6.379516e-5,"log1p(log1p((sin((VIXCLS - (MACD * 2.3713975)) / ((RSI / -1.7276983) + MACD)) + 0.19496693) / VIXCLS))"
19,6.329715e-5,"log1p(((0.19372232 + sin((VIXCLS - (MACD * 2.3483078)) / ((RSI / -1.727809) + MACD))) / VIXCLS) / 0.9768609)"
20,6.201119e-5,"sin(sin(sin(((VIXCLS - (MACD * 2.5217807)) / (MACD + (RSI / -1.9886035))) + 0.22872017) / (VIXCLS + 2.7279978)))"
21,6.1388004e-5,"sin(log1p(sin(sin(((VIXCLS - (MACD * 2.5235488)) / (MACD + (RSI / -2.0158556))) + 0.21926531) / (VIXCLS + 3.0164723))))"
25,6.132048e-5,"log1p(sin(sin(sin(((VIXCLS - (MACD * 2.5335042)) / (MACD + (RSI / -2.025166))) + 0.22561277) / (VIXCLS + (exp(cos(T10Y2Y)) + 0.41043913)))))"
26,5.9257156e-5,"sin(sin(log1p(sin(((VIXCLS - (MACD * 2.5217807)) / ((RSI / -1.9886035) + MACD)) + 0.22872017) / ((sin(VIXCLS / ATR) + VIXCLS) + 2.3717172))))"
27,5.812164e-5,"sin(log1p(sin(0.22872017 + ((VIXCLS - (MACD * 2.5217807)) / ((RSI / -1.9886035) + MACD))) / (sin(VIXCLS / exp(log1p(ATR))) + (VIXCLS + 2.3717172))))"
28,5.8116755e-5,"sin(sin(log1p(sin(((VIXCLS - (MACD * 2.5217807)) / ((RSI / -1.9886035) + MACD)) + 0.22872017) / ((sin(VIXCLS / exp(log1p(ATR))) + VIXCLS) + 2.3717172))))"
29,5.771019e-5,"sin(sin(log1p(sin(((VIXCLS - (2.5217807 * MACD)) / ((RSI / -1.9886035) + MACD)) + 0.22872017) / ((sin(VIXCLS / exp(log1p(ATR))) + VIXCLS) + log1p(ATR)))))"
