Complexity,Loss,Equation
1,3.1072705e-5,"0.03904278"
3,2.6574877e-5,"2.7688892 / UMCSENT"
4,2.6401933e-5,"log1p(2.8247173 / UMCSENT)"
5,1.7131888e-5,"(-0.23049237 / RSI) + 0.04429511"
6,1.7131639e-5,"0.044295114 + sin(-0.23049298 / RSI)"
7,1.3630579e-5,"(MACD * (0.021054346 / RSI)) + 0.039916422"
8,1.3630054e-5,"sin(MACD * (0.021054346 / RSI)) + 0.039916422"
9,1.3417008e-5,"(((MACD + -2.9131339) * 0.01754993) / RSI) + 0.040948372"
10,1.3363897e-5,"(sin(MACD / RSI) * 0.021054346) + (analyst_sell_rating + 0.039916422)"
11,1.268944e-5,"((MACD / ((VIXCLS + SMA_50_slope) / 0.288323)) / RSI) + 0.040001284"
12,1.2688691e-5,"sin((MACD / ((SMA_50_slope + VIXCLS) / 0.288323)) / RSI) + 0.040001284"
13,1.1716321e-5,"0.042891547 + (((0.860316 / (3.513906 + (MACD * MACD))) + -0.26774508) / RSI)"
14,1.1549972e-5,"(((cos(Relative_Volume) / ((MACD * MACD) + 2.3456514)) + -0.22327285) / RSI) + 0.04238831"
15,1.10153405e-5,"0.042036314 + (((0.9116992 / (3.8378286 + (MACD * (MACD + -1.861824)))) + -0.24511757) / RSI)"
16,1.10149185e-5,"0.042036314 + sin(((0.9116992 / (3.8378286 + (MACD * (MACD + -1.861824)))) + -0.24511757) / RSI)"
17,1.100379e-5,"0.042036314 + sin(((cos(T10Y2Y) / (3.8378286 + (MACD * (MACD + -1.861824)))) + -0.24511757) / RSI)"
18,1.03975535e-5,"((((cos(Relative_Volume) / ((MACD * MACD) + 2.3463645)) + (SMA_50_slope / RSI)) + -0.21680488) / RSI) + 0.042218056"
19,1.0380792e-5,"sin(((((cos(Relative_Volume) / (2.4541628 + (MACD * MACD))) + -0.22327285) + (SMA_50_slope / RSI)) / RSI) + 0.042401012)"
20,1.0005238e-5,"(((SMA_50_slope / RSI) + ((cos(Relative_Volume) / (2.4541628 + (MACD * MACD))) + -0.22327285)) / (RSI + Relative_Volume)) + 0.042401012"
21,1.00026755e-5,"(((SMA_50_slope / RSI) + ((cos(Relative_Volume) / ((MACD * MACD) + 2.4541628)) + -0.22327285)) / (RSI + Relative_Volume)) + sin(0.042401012)"
22,9.895357e-6,"((((SMA_50_slope / RSI) + -0.23831102) + (cos(Relative_Volume) / ((MACD * MACD) + (SMA_50_slope + 2.4545214)))) / (RSI + Relative_Volume)) + 0.042680353"
23,9.70907e-6,"sin(((((SMA_50_slope / RSI) + (cos(Relative_Volume) / (((Relative_Volume * MACD) * MACD) + 2.259661))) + -0.24085242) / (RSI + Relative_Volume)) + 0.04246752)"
25,9.708956e-6,"(((((SMA_50_slope / RSI) + (cos(Relative_Volume) / (((Relative_Volume * MACD) * MACD) + 2.262601))) + -0.23905557) / (RSI + Relative_Volume)) + 0.04241714) - sin(analyst_buy_rating)"
26,9.595285e-6,"(((cos(Relative_Volume) / ((news_sentiment + (MACD * (MACD * Relative_Volume))) + 1.9964097)) + ((SMA_50_slope / RSI) + -0.27813044)) / ((RSI - -0.61660576) + 2.1999896)) + 0.04294699"
