Complexity,Loss,Equation
1,0.3817877,"-6.98251"
3,0.11093472,"sma_50 * -0.013105413"
5,0.085353866,"-12.064993 - (-2672.9937 / sma_50)"
9,0.0052677263,"-11.071538 - ((rsi * 0.017305706) - (2686.3323 / sma_50))"
11,0.0052389447,"-11.071538 - ((rsi * 0.017305706) - (2686.3323 / (sma_50 - sentiment_score)))"
13,0.0051635057,"-11.071538 - ((0.017305706 * rsi) - (2686.3323 / (sma_50 - (0.4293832 / 0.4293832))))"
15,0.0033003944,"-11.710244 - ((rsi * 0.018129716) - ((3047.9639 / sma_50) - ((similarity_score + 0.5646166) / 2672.5388)))"
17,0.0029192541,"-11.816483 - ((rsi * 0.018065792) - (3187.129 / (sma_50 - (-8.105898 / (sentiment_score + (sentiment_score * 2.8132906))))))"
26,0.0028186461,"(-11.504338 - (((-1.3417099 - ((1035.3446 / (sma_50 * ((0.012627762 - (rsi + -0.6917465)) / 0.10846723))) + rsi)) * -0.018356206) - (2969.3894 / sma_50))) - inv(rsi)"
29,0.002742246,"(-11.576514 - ((((((rsi - 1377.4192) / sma_50) * 0.6703101) - (-0.26626858 / (rsi / ((rsi + 0.88744384) - rsi)))) + (rsi * 1.0166807)) - (2051.3633 / sma_50))) + rsi"
